                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.79805,                0.66026,                 1.1583,                0.86145,                0.84516,                0.90207,                0.66089,                0.98012,                0.75879,                 1.3713,              0.0010527,              0.0010527,              0.0010527
                    135,                0.77657,                 0.6152,                 1.1658,                0.87896,                 0.8045,                0.91005,                0.66179,                 1.0126,                0.77422,                 1.4083,              0.0010499,              0.0010499,              0.0010499
                    136,                0.80764,                0.64888,                 1.1839,                0.87663,                0.80028,                0.90363,                0.64603,                  1.078,                0.78196,                 1.5023,               0.001047,               0.001047,               0.001047
                    137,                0.77715,                 0.6386,                 1.1426,                0.79149,                 0.8462,                0.87638,                0.61856,                 1.1038,                0.78316,                 1.5067,              0.0010442,              0.0010442,              0.0010442
                    138,                0.80069,                0.61715,                 1.1641,                0.88855,                0.79599,                0.89864,                0.63604,                 1.0277,                 0.7686,                 1.3915,              0.0010414,              0.0010414,              0.0010414
                    139,                0.75442,                0.62765,                 1.1172,                 0.9149,                0.79918,                 0.9117,                0.65699,                 0.9623,                0.77193,                 1.3552,              0.0010385,              0.0010385,              0.0010385
                    140,                0.81172,                  0.665,                   1.16,                0.91315,                0.83828,                0.93343,                0.66316,                  1.013,                0.71248,                 1.3936,              0.0010357,              0.0010357,              0.0010357
                    141,                  0.771,                0.59327,                 1.1496,                0.84726,                0.89512,                0.92268,                0.66211,                 0.9651,                0.66888,                 1.3414,              0.0010329,              0.0010329,              0.0010329
                    142,                0.78304,                0.61367,                 1.1824,                 0.8618,                0.82831,                0.91957,                0.65786,                  1.053,                0.70458,                 1.4135,              0.0010301,              0.0010301,              0.0010301
                    143,                0.75175,                0.61585,                 1.1354,                0.88337,                0.77153,                0.89747,                0.63244,                 1.0455,                 0.7198,                 1.4383,              0.0010272,              0.0010272,              0.0010272
                    144,                0.78506,                0.62576,                 1.1512,                0.84505,                0.83382,                0.89764,                0.61991,                   1.09,                0.70716,                 1.4943,              0.0010244,              0.0010244,              0.0010244
                    145,                0.77455,                 0.6482,                 1.1406,                 0.8683,                0.79283,                 0.8733,                0.62908,                 1.0409,                0.73089,                 1.4556,              0.0010216,              0.0010216,              0.0010216
                    146,                0.77057,                0.65452,                 1.1555,                0.85608,                0.83273,                0.87986,                0.63481,                 1.0393,                0.74613,                 1.4299,              0.0010187,              0.0010187,              0.0010187
                    147,                0.79905,                0.61201,                 1.1441,                0.83695,                0.82485,                 0.8805,                0.63036,                 1.0412,                 0.7122,                 1.4313,              0.0010159,              0.0010159,              0.0010159
